Camera,Peromyscus,Scrub Jay,Spotted Towhee,CHSP,Chipmunk,Neotoma,Cottontail,Rock squirrel,Sceloporus,Whiptail,Elk,Raven,Bluebird,Robin,Horned lizard,Junco,Grey fox,Snake,Jackrabbit,Deer,Turkey,ATFL,Mourning Dove,rich,Cluster,Treatment,Site,Lzeq,Laeq,Lux,Lat,Long,Elevation,Landcover,M_Illum,JDay
CP01_1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Control,CP01,61.1,38.9,0,36.885132,-107.628847,1972.670776,Shrubland,0.268540362,148.625
CP01_10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Control,CP01,61.2,39.1,0,36.885658,-107.63064,1970.905762,Shrubland,0.328083776,148
CP01_4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Blue,Control,CP01,63.9,40.6,0,36.884304,-107.628323,1963.27771,Shrubland,0.232814314,149
CP01_5,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Blue,Control,CP01,59.6,38.2,0,36.883961,-107.629334,1963.234375,Shrubland,0.30449855,148.2580645
CP01_8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Control,CP01,59.5,42.2,0,36.884917,-107.630644,1965.500122,Shrubland,0.328083776,148
CP01_9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Control,CP01,60.4,37.6,0,36.885485,-107.630477,1969.807007,Shrubland,0.149594926,150
CP02_1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Light,CP02,72.5,37.6,0.45,36.874392,-107.650722,1924.177246,Shrubland,0.241215198,148.9787234
CP02_10,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Blue,Light,CP02,67.4,42.3,0.21,36.873116,-107.649631,1914.575439,Shrubland,0.270166636,148.6666667
CP02_2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Light,CP02,72.4,36.5,0.14,36.874529,-107.650626,1922.332642,Shrubland,0.362424737,147.6666667
CP02_3,225,0,0,0,191,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Blue,Light,CP02,74.7,50.3,0.18,36.873864,-107.651754,1927.307373,Shrubland,0.318105729,148.1212766
CP02_5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Light,CP02,71.8,42.3,0.12,36.872047,-107.650837,1912.654663,Shrubland,0.351434953,147.8181818
CP02_6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Light,CP02,74.6,42.5,0.03,36.872176,-107.650978,1910.156006,Shrubland,0.149594926,150
CP02_8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,Light,CP02,62.4,39.7,0,36.872215,-107.650041,1912.786011,Shrubland,0.149594926,150
CP02_9,2,58,0,0,0,0,2,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Blue,Light,CP02,65.2,44.5,0,36.872913,-107.64955,1913.026123,Shrubland,0.215230099,149.2230769
CP04_1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Orange,Light,CP04,64.1,60.3,0.15,36.90993,-107.71288,NA,Shrubland,0.681949749,162.9166667
CP04_10,33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Orange,Light,CP04,62.3,45.8,0.14,36.91102,-107.71326,NA,Shrubland,0.652683823,162.5833333
CP04_2,17,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Orange,Light,CP04,61.3,45.2,0.02,36.90977,-107.71288,NA,Shrubland,0.672616477,162.8
CP04_5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Orange,Light,CP04,61.4,41.1,0.2,36.90945,-107.71441,NA,Shrubland,0.787948873,164
CP05_10,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Green,Control,CP05,65.6,51.9,0,36.91595396,-107.661341,2054.215332,Woodland,0.522612898,175.6666667
CP05_2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Green,Control,CP05,68.9,65.3,0,36.91740797,-107.661101,2046.531738,Woodland,0.692606571,174
CP05_3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Green,Control,CP05,64.8,47.1,0,36.91723396,-107.659448,2045.281006,Woodland,0.559151247,175.3214286
CP05_5,10,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Green,Control,CP05,67.5,51.1,0,36.91628999,-107.658992,2063.543213,Woodland,0.647165892,174.4642857
CP05_8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Green,Control,CP05,66.6,58.1,0,36.91524502,-107.659969,2056.979736,Woodland,0.556490653,175.3333333
CP05_9,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Green,Control,CP05,68,50,0,36.916147,-107.661171,2049.984863,Woodland,0.716229356,173.7692308
CP06_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Orange,Control,CP06,66.4,42.9,0,36.90484,-107.68121,NA,Woodland,0.487699103,161
CP06_4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Orange,Control,CP06,74.5,38.2,0,36.90456,-107.67962,NA,Shrubland,0.766855681,163.7727273
CP06_5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Orange,Control,CP06,78,36.5,0,36.90588,-107.67921,NA,Woodland,0.66126856,162.6666667
CP06_7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Orange,Control,CP06,78.4,47.2,0,36.90606,-107.68031,NA,Woodland,0.558251716,161.6666667
CP06_9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Orange,Control,CP06,74.3,40.3,0,36.90561,-107.68134,NA,Shrubland,0.593528022,162
